entry_test_price;prediction;test_price
3976.19;3948.179931640625;3971.1
3971.1;3969.989990234375;3972.5
3972.5;3970.5400390625;3977.4
3977.4;3989.010009765625;3979.8
3979.8;3988.43994140625;3971.7
3971.7;3964.219970703125;3977.1
3977.1;3981.510009765625;3980.1
3980.1;3984.0400390625;3989.3
3989.3;3997.4599609375;3990.67
3990.67;3996.830078125;3988.43
3988.43;3982.889892578125;3985.41
3985.41;3985.550048828125;3997.2
3997.2;4009.570068359375;3998.0
3998.0;3995.3798828125;3997.06
3997.06;3993.510009765625;3999.5
3999.5;4012.320068359375;4001.4
4001.4;3998.0400390625;3919.2
3919.2;3870.320068359375;3929.6
3929.6;3871.3798828125;3939.7
3939.7;3964.919921875;3960.1
3960.1;3973.739990234375;3957.87
3957.87;3974.669921875;3952.4
3952.4;3947.25;3959.9
3959.9;3960.85009765625;3947.76
3947.76;3942.93994140625;3947.8
3947.8;3940.1298828125;3957.0
3957.0;3966.070068359375;3977.77
3977.77;3995.820068359375;4004.0
4004.0;4025.4599609375;3999.5
3999.5;4002.60009765625;4000.7
4000.7;3992.889892578125;3997.7
3997.7;4000.5400390625;3997.9
3997.9;4001.06005859375;3996.8
3996.8;3991.639892578125;4000.0
4000.0;4000.2099609375;4013.5
4013.5;4029.659912109375;4007.9
4007.9;4005.89990234375;4024.9
4024.9;4025.409912109375;4027.1
4027.1;4044.6298828125;4023.2
4023.2;4019.25;4003.1
4003.1;3962.469970703125;4015.31
4015.31;4007.949951171875;4010.7
4010.7;4018.39990234375;4013.62
4013.62;4012.919921875;4005.0
4005.0;3991.72998046875;4001.4
4001.4;3999.550048828125;3990.0
3990.0;3982.97998046875;4001.1
4001.1;4008.22998046875;4004.63
4004.63;4023.77001953125;4005.7
4005.7;4009.1298828125;4009.6
4009.6;4003.909912109375;4008.56
4008.56;4017.820068359375;3997.3
3997.3;3985.1298828125;3992.0
3992.0;3982.89990234375;3992.27
3992.27;3995.85009765625;3995.08
3995.08;3997.60009765625;3985.6
3985.6;3968.830078125;3978.8
3978.8;3969.0;3989.68
3989.68;3991.89990234375;3983.0
3983.0;3997.89990234375;3982.15
3982.15;3967.929931640625;3981.9
3981.9;3986.7099609375;3993.28
