entry_test_price;prediction;test_price
3915.7;3918.969970703125;3909.1
3909.1;3885.320068359375;3919.7
3919.7;3908.280029296875;3919.34
3919.34;3911.27001953125;3918.92
3918.92;3926.1201171875;3926.1
3926.1;3919.919921875;3930.0
3930.0;3954.7099609375;3928.1
3928.1;3932.75;3938.8
3938.8;3938.860107421875;3946.9
3946.9;3931.090087890625;3947.4
3947.4;3968.830078125;3951.3
3951.3;3963.090087890625;3927.92
3927.92;3927.679931640625;3925.99
3925.99;3908.56005859375;3937.6
3937.6;3941.739990234375;3924.9
3924.9;3916.300048828125;3916.11
3916.11;3901.739990234375;3907.0
3907.0;3911.14990234375;3893.1
3893.1;3897.22998046875;3872.8
3872.8;3867.739990234375;3885.81
3885.81;3861.18994140625;3895.0
3895.0;3902.02001953125;3896.1
3896.1;3882.360107421875;3888.2
3888.2;3885.9599609375;3886.7
3886.7;3893.739990234375;3881.9
3881.9;3901.25;3925.9
3925.9;3933.909912109375;3958.2
3958.2;3996.47998046875;3960.64
3960.64;3973.550048828125;3959.8
3959.8;3954.77001953125;3995.6
3995.6;3985.06005859375;3981.2
3981.2;3987.550048828125;3985.6
3985.6;3984.449951171875;3982.0
3982.0;3979.1201171875;3997.5
3997.5;3994.219970703125;3997.3
3997.3;4009.429931640625;4005.0
4005.0;4007.60009765625;3985.8
3985.8;3997.699951171875;3979.3
3979.3;3978.919921875;3965.2
3965.2;3980.419921875;3965.3
3965.3;3969.360107421875;3963.9
3963.9;3966.739990234375;3959.2
3959.2;3954.300048828125;3964.42
3964.42;3962.25;3970.9
3970.9;3974.85009765625;3958.91
3958.91;3966.780029296875;3960.1
3960.1;3956.43994140625;3953.2
3953.2;3953.68994140625;3978.5
3978.5;3976.330078125;3974.0
3974.0;3969.909912109375;3969.6
3969.6;3975.0;3963.9
3963.9;3964.639892578125;3971.0
3971.0;3985.449951171875;3966.9
3966.9;3966.81005859375;3960.8
3960.8;3962.679931640625;3961.2
3961.2;3945.530029296875;3904.6
3904.6;3932.18994140625;3921.9
3921.9;3926.14990234375;3911.3
3911.3;3919.159912109375;3931.2
3931.2;3921.570068359375;3930.1
3930.1;3917.2099609375;3914.6
3914.6;3910.89990234375;3913.4
3913.4;3905.14990234375;3915.4
3915.4;3920.93994140625;3917.0
3917.0;3918.8701171875;3916.8
3916.8;3919.47998046875;3915.9
