entry_test_price;prediction;test_price;volume
3958.9;3901.919921875;3971.0;313.69
3971.0;3903.169921875;3969.3;195.61
3969.3;3905.52001953125;3960.6;884.26
3960.6;3905.85009765625;3963.4;548.23
3963.4;3901.25;3929.5;358.64
3929.5;3893.580078125;3911.3;1684.47
3911.3;3878.760009765625;3931.1;606.07
3931.1;3871.2099609375;3918.4;797.64
3918.4;3867.419921875;3912.5;320.16
3912.5;3870.739990234375;3919.0;442.35
3919.0;3867.0;3917.0;155.56
3917.0;3861.110107421875;3916.9;84.88
3916.9;3857.969970703125;3907.2;187.45
3907.2;3860.800048828125;3894.7;275.4
3894.7;3850.989990234375;3904.7;755.42
3904.7;3847.919921875;3901.7;299.1
3901.7;3846.6298828125;3925.7;974.04
3925.7;3852.93994140625;3943.4;827.58
3943.4;3867.580078125;3926.0;854.05
3926.0;3866.280029296875;3933.0;562.16
3933.0;3866.18994140625;3934.8;208.8
3934.8;3866.090087890625;3947.7;493.25
3947.7;3871.60009765625;3957.8;1625.78
3957.8;3884.5400390625;4190.2;319.75
4190.2;3955.969970703125;4168.5;8548.3
4168.5;4016.820068359375;4178.7;1526.46
4178.7;4041.419921875;4157.0;2182.25
4157.0;4051.300048828125;4154.0;1118.81
4154.0;4052.679931640625;4153.8;622.38
4153.8;4063.449951171875;4168.4;500.96
4168.4;4086.489990234375;4179.7;1008.95
4179.7;4098.669921875;4154.4;442.47
4154.4;4100.14990234375;4146.3;748.67
4146.3;4089.989990234375;4152.0;536.23
4152.0;4086.8798828125;4145.7;163.89
4145.7;4089.639892578125;4153.9;226.13
4153.9;4094.43994140625;4150.2;294.99
4150.2;4097.68994140625;4155.33;860.1
4155.33;4091.139892578125;4170.3;263.23
4170.3;4095.580078125;4102.5;1080.45
4102.5;4087.72998046875;4106.7;2905.4
4106.7;4066.139892578125;4106.7;6.54
4106.7;4051.419921875;4106.7;0.0
4106.7;4039.02001953125;4106.7;0.0
4106.7;4064.830078125;4111.0;0.61
4111.0;4053.050048828125;4106.7;0.17
