start;open;high;low;close;volume;annual-hash-rate-growth;block-height;block-interval;block-size;blockchain-size;blocks-daily;chain-value-density;daily-transactions;difficulty;fee-percentage;hash-rate-growth-14d;hash-rate;market-cap;quarterly-hash-rate-growth;metcalfe-utxo;metcalfe-tx;utxo-growth;utxo-set-size;utxo-value;velocity-daily
1373673600;90.17;91.95;85.0;91.6;4120.969556950002;1470.77;246282;541;153611;9419123618;154;116828.98;49385;26162876;0.00302291;32.5513;210.80478447272804;1049448600.0;226.199;2.04;3.97;12323;6611698;158.73;0.0911293
1373760000;91.6;93.0;88.88;90.07;2457.32348995;1484.35;246439;550;114192;9437051826;157;116317.5;37354;26162876;0.00383167;31.8882;211.64179895519783;1046842846.5;230.56;2.03;5.37;8191;6619889;158.13;0.0757255
1373846400;90.07;99.83;82.45;93.94;5899.147069650001;1532.37;246611;500;93785;9453182891;172;116973.15;33610;26162876;0.00410702;33.8067;215.41724761779983;1054543104.5;233.899;2.04;6.07;10034;6629923;159.06;0.047644599999999995
1373932800;93.94;94.0;84.7;91.6;2113.47575834;1563.2;246775;528;107071;9470742461;164;120464.75;37553;26162876;0.00323332;32.05;216.7972650367828;1088038050.0;235.755;2.1;5.55;9925;6639848;163.86;0.0617303
1374019200;91.58;92.8;89.22;91.46;2059.1897221899985;1530.15;246939;527;113518;9489359373;164;118188.79;40163;26162876;0.00368501;32.2322;219.23786741299253;1069579964.25;236.975;2.06;5.06;10237;6650085;160.84;0.0867058
1374105600;91.46;91.46;77.0;85.27;7713.432233700006;1469.7;247123;465;98762;9507531635;184;116750.0;39766;26162876;0.00311165;27.9274;217.19412458117648;1058582587.25;230.53099999999998;2.04;5.06;8846;6658931;158.97;0.0924714
1374192000;85.27;87.1;83.4;86.53;4848.197214019996;1460.86;247284;533;116459;9526281467;161;109866.81;41105;26162876;0.0037544000000000006;24.9852;214.7787921435757;998136651.0;230.352;1.92;4.6;7292;6666223;149.73;0.0870713
1374278400;86.53;87.2;84.27;85.0;1352.5435523899996;1491.42;247455;501;96849;9542842647;171;111828.31;36654;26162876;0.00261538;23.2575;217.937303792746;1017723011.25;231.565;1.95;5.32;11273;6677496;152.41;0.07056269999999999
1374364800;85.0;86.4;84.0;85.79;2130.3135573400004;1546.84;247641;462;84890;9558632229;186;110295.84;34289;26162876;0.00479867;24.3862;223.32535307662465;1005437277.0;225.502;1.92;5.65;11702;6689198;150.31;0.042482599999999995
1374451200;85.77;87.1;83.99;85.6;1357.5466919900002;1545.84;247840;433;81403;9574831404;199;108790.81;34945;26162876;0.00491363;23.7345;228.34181275471852;993398340.0;228.90900000000002;1.9;5.47;7637;6696835;148.34;0.04315069999999999
