entry_test_price;prediction;test_price
3958.2;3995.56005859375;3960.64
3960.64;3996.60009765625;3959.8
3959.8;3997.93994140625;3995.6
3995.6;4024.169921875;3981.2
3981.2;4015.669921875;3985.6
3985.6;4022.64990234375;3982.0
3982.0;4022.360107421875;3997.5
3997.5;4031.18994140625;3997.3
3997.3;4032.1298828125;4005.0
4005.0;4040.0400390625;3985.8
3985.8;4028.27001953125;3979.3
3979.3;4018.340087890625;3965.2
3965.2;4002.719970703125;3965.3
3965.3;4004.590087890625;3963.9
3963.9;4001.780029296875;3959.2
3959.2;3996.360107421875;3964.42
3964.42;4001.989990234375;3970.9
3970.9;4007.989990234375;3958.91
3958.91;4004.010009765625;3960.1
3960.1;4000.669921875;3953.2
3953.2;3993.10009765625;3978.5
3978.5;4010.25;3974.0
3974.0;4003.159912109375;3969.6
3969.6;4003.93994140625;3963.9
3963.9;3999.6298828125;3971.0
3971.0;4006.610107421875;3966.9
3966.9;4007.949951171875;3960.8
3960.8;3999.610107421875;3961.2
3961.2;3998.1298828125;3904.6
3904.6;3964.60009765625;3921.9
3921.9;3966.340087890625;3911.3
3911.3;3952.31005859375;3931.2
3931.2;3966.139892578125;3930.1
3930.1;3966.780029296875;3914.6
3914.6;3954.52001953125;3913.4
3913.4;3953.10009765625;3915.4
3915.4;3955.5;3917.0
3917.0;3953.68994140625;3916.8
3916.8;3955.639892578125;3915.9
3915.9;3955.43994140625;3890.2
3890.2;3938.219970703125;3897.5
3897.5;3937.6201171875;3912.3
3912.3;3945.169921875;3901.7
3901.7;3940.68994140625;3935.8
3935.8;3966.409912109375;3937.0
3937.0;3972.590087890625;3939.8
3939.8;3978.6298828125;3927.2
3927.2;3965.7099609375;3928.3
3928.3;3969.25;3934.8
3934.8;3971.06005859375;3951.9
3951.9;3988.27001953125;3949.8
3949.8;3987.389892578125;4183.3
4183.3;4142.2998046875;4180.0
4180.0;4194.22021484375;4170.0
4170.0;4209.8798828125;4178.7
4178.7;4214.240234375;4170.0
4170.0;4209.14990234375;4153.5
4153.5;4190.1201171875;4161.0
4161.0;4195.06005859375;4187.9
4187.9;4210.759765625;4193.0
4193.0;4215.56982421875;4179.7
4179.7;4215.490234375;4154.9
4154.9;4192.35986328125;4145.4
4145.4;4183.47021484375;4154.7
4154.7;4187.77978515625;4151.7
4151.7;4186.35986328125;4136.0
4136.0;4176.4501953125;4153.9
4153.9;4185.919921875;4150.4
4150.4;4188.64990234375;4153.4
4153.4;4186.64990234375;4152.2
4152.2;4189.7998046875;4120.2
4120.2;4174.35009765625;4106.7
4106.7;4145.72021484375;4106.7
4106.7;4141.75;4106.7
4106.7;4142.18994140625;4106.7
4106.7;4142.18994140625;4107.7
4107.7;4142.89990234375;4107.7
4107.7;4142.7998046875;4111.0
4111.0;4145.93994140625;4106.7
4106.7;4142.56005859375;4106.7
4106.7;4142.47021484375;4111.6
4111.6;4145.64990234375;4145.8
4145.8;4174.2900390625;4142.3
4142.3;4172.52978515625;4135.8
